symbol,cagr,avg_fcf_margin,dcf_base_case,dcf_bull,dcf_bear
FAST,5.52,13.37,15.520211002663766,26.448226784732668,11.121061016410511
FRT,5.98,21.02,-3.7668493727326,32.61762436655618,-18.411136969779335
FDX,-2.03,3.3,2.2829373319085704,98.59628787818832,-36.61357218471734
FDXF,-6.12,11.87,34.525060067383606,79.88330414910446,16.167739187431742
FIS,3.18,18.02,15.755408280236448,53.859870588457454,0.40225236382280793
FITB,2.87,40.0,41.02387561910585,80.28635542258941,25.202167501670505
FSLR,25.84,1.0,34.82369062509,48.17143687002757,29.48077187911355
FE,6.59,1.0,-43.95237195978431,-40.813428596671365,-45.215474888933734
FISV,6.11,20.62,137.58952970682128,234.01776259093393,98.78025891110427
F,5.82,3.52,-7.260989030340331,12.284469481940265,-15.128273078931976
FTNT,15.46,32.43,77.6063087558801,131.5007211602834,55.979830099439056
FTV,-10.0,29.69,22.816649902730745,43.85773623940544,14.280831970359971
FOXA,5.27,12.5,145.6022840844506,261.1119788773311,99.09868935954357
FOX,5.27,12.5,131.60056484192225,236.00236852959193,89.56894856983132
BEN,1.96,13.57,30.583854839954405,52.68343545946748,21.674935886286427
FCX,4.39,5.72,11.454243070269689,22.632162145301574,6.9525661403846035
GRMN,14.24,18.07,171.66524886281775,286.9562968897712,125.38598027084046
IT,5.87,19.03,281.58756875844904,496.3435654229404,195.1473106559743
GE,16.32,13.91,144.82263262716873,258.3250134533788,99.28750452355155
GEHC,3.99,8.44,40.474304428579366,81.20633136433864,24.06774225343758
GEV,8.68,3.46,113.85403819416464,178.7418589153656,87.76236424978644
GEN,14.66,34.38,54.81441107313029,104.16568966942019,35.00656124657774
GNRC,-2.67,7.4,41.66678481380639,82.19407167191117,25.294590906347736
GD,10.07,8.01,284.76535655826103,504.3515076719332,196.50925618910722
GIS,0.86,12.34,61.213247548481526,102.4019389405327,44.601180023106465
GM,5.69,1.0,-81.90399570256841,-58.24302443273795,-91.42828164279628
GPC,3.22,3.44,44.958097569244295,107.1672144337572,19.893038331296758
GILD,2.57,31.48,97.89356878497057,172.0836671858695,67.9932885151118
GPN,-4.96,25.26,9.05805560509707,57.49121857273515,-10.531142449868474
GL,4.67,24.23,259.2602844573261,464.92085084224175,176.443735183677
GDDY,6.56,26.17,148.24072604892237,265.8187894272383,100.92709740245913
GS,7.16,1.0,1060.1531827529577,1084.556731947328,1050.3352374073509
HAL,3.01,8.3,25.1608273113997,47.52824911584485,16.147854777840713
HIG,8.7,19.09,365.40241563460944,624.6058855701062,261.17631101131957
HAS,-7.06,11.05,16.857337069622123,39.22383332237689,7.800314279722191
HCA,7.87,8.06,275.97161673825406,626.4417952674166,135.00682584998228
DOC,11.05,40.0,19.85840051345963,44.00897260544491,10.154818841783499
HSIC,1.4,3.86,29.704791392928843,71.66381810333857,12.785971491251459
HSY,3.92,15.85,158.91771280719126,291.50434621850883,105.51127921120903
HPE,6.37,4.76,8.820000330371613,23.49438411275199,2.9145849375723305
HLT,11.13,16.75,127.90282492111591,258.9756395335669,75.23970582887672
HD,1.52,9.24,148.46354143339622,292.5943998794906,90.34980669794302
HON,1.82,14.04,76.07571974904573,155.60594673820606,44.01320114308781
HRL,-0.95,6.55,18.443880415624136,30.472788247154085,13.588453880909908
HST,7.61,16.11,19.932722457004918,38.06658698832127,12.638321144814554
HWM,13.37,12.57,52.55589489137597,94.9534792007609,35.532732620956175
HPQ,-4.21,5.6,28.482190639313977,52.42155098702164,18.803565474322653
HUBB,5.71,12.96,194.59470130145468,360.10786000268456,127.97101307667839
HUM,11.77,2.21,568.3963241528695,931.5997208006266,422.4955652457859
HBAN,3.88,34.23,19.122701903216726,33.65422041706869,13.269254227051864
HII,5.35,4.25,150.27856867918862,303.304290282624,88.67324052519973
IBM,3.72,17.32,127.08306576666546,257.7872030998091,74.43074813769188
IEX,2.81,17.7,102.94549465318008,186.07655003057874,69.44502866266477
IDXX,8.52,19.31,184.01164806313582,322.5951511963843,128.28360326639535
ITW,0.23,16.51,91.35297229608618,172.97832707955232,58.42303124604119
INCY,14.84,17.46,127.50459386067459,205.81290524274712,96.07601087999838
IR,8.95,16.16,50.29891884247611,92.66879080035548,33.26333335458443
PODD,27.54,6.61,92.5504608298988,168.47461882540404,62.16948015977121
INTC,-5.71,1.0,-1.3807324610765173,-0.6927432198419969,-1.6591106325749672
IBKR,30.0,40.0,596.2693698042914,892.8726716965232,477.63943396005294
ICE,9.47,31.53,100.36589183960011,197.15461495725563,61.45690851294972
IFF,-4.34,3.75,-6.0720182883297005,5.165497833896523,-10.615627568383927
IP,3.75,3.57,8.145309623842012,24.92913442396186,1.3842757906713954
INTU,13.95,30.71,488.33268331792505,842.8452108429334,346.01542918007965
ISRG,17.39,16.57,137.3874183042231,228.93004544989202,100.67252030380367
IVZ,1.78,17.35,32.225797335254235,56.086923331865904,22.606021064800245
INVH,6.84,35.27,13.35991148932577,33.08128824950688,5.424770957245574
IQV,4.21,11.83,94.5529671307411,218.8742089626788,44.48170079485304
IRM,10.58,1.0,-60.742768979604115,-57.3920522074175,-62.08926715779351
JBHT,-6.78,3.42,25.02270811783954,51.932593039215966,14.127668484884902
JBL,-3.8,2.5,52.34899684917535,103.29583915297991,31.755675303733042
JKHY,6.93,14.24,81.02844477290418,139.19170866432404,57.62649096801224
J,7.13,6.11,82.0154848598775,158.78662227000103,51.128933873126954
JNJ,5.6,20.8,120.01864021585632,213.48115535028103,82.39582261614308
JCI,4.57,6.58,25.546412930229348,53.3682541772133,14.342501661958076
JPM,12.5,1.0,112.26196921505903,122.93758920077892,107.97446419256713
KVUE,0.39,12.97,9.406988718522879,18.530667402606007,5.726493363697793
KDP,5.71,10.64,0.8592543931946283,15.850450610093766,-5.175129783669238
KEY,1.21,37.24,19.919691301507115,43.19445825597593,10.534048363916618
KEYS,-0.28,20.43,80.11451003729115,135.69051225396976,57.68842879244906
KMB,-6.58,12.58,40.33435743204948,79.27576346871254,24.56991926579211
KIM,7.4,40.0,10.409779294985672,26.26299669933403,4.032307285551104
KMI,-4.09,20.41,2.3199689346801216,13.378857598272798,-2.150842583940131
KKR,30.0,1.0,-2.600530568508474,4.312516790368811,-5.3654841595166
KLAC,9.69,31.5,561.457191652957,968.0544788649977,398.0171520975754
KHC,-1.98,10.84,12.64391910387452,30.725492401072255,5.341788818975475
KR,-0.14,1.61,14.809659469512152,48.29339153601745,1.2991241756337213
LHX,8.62,10.5,192.42686798287218,355.26806077237865,126.94632135180079
