symbol,cagr,avg_fcf_margin,wacc_7_tgr_1,wacc_7_tgr_2,wacc_7_tgr_3,wacc_7_tgr_4,wacc_7_tgr_5,wacc_8_tgr_1,wacc_8_tgr_2,wacc_8_tgr_3,wacc_8_tgr_4,wacc_8_tgr_5,wacc_9_tgr_1,wacc_9_tgr_2,wacc_9_tgr_3,wacc_9_tgr_4,wacc_9_tgr_5,wacc_10_tgr_1,wacc_10_tgr_2,wacc_10_tgr_3,wacc_10_tgr_4,wacc_10_tgr_5,wacc_11_tgr_1,wacc_11_tgr_2,wacc_11_tgr_3,wacc_11_tgr_4,wacc_11_tgr_5,wacc_12_tgr_1,wacc_12_tgr_2,wacc_12_tgr_3,wacc_12_tgr_4,wacc_12_tgr_5,wacc_13_tgr_1,wacc_13_tgr_2,wacc_13_tgr_3,wacc_13_tgr_4,wacc_13_tgr_5
CCL,29.81,1.0,,,,1.24,11.31,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,
CARR,7.95,7.41,30.6,37.84,48.68,66.76,102.92,24.12,29.1,36.07,46.52,63.94,19.27,22.87,27.66,34.38,44.45,15.5,18.2,21.67,26.29,32.76,12.49,14.57,17.17,20.51,24.97,10.03,11.67,13.68,16.19,19.41,7.98,9.3,10.88,12.82,15.25
CVNA,14.31,1.0,4.59,6.0,8.11,11.63,18.67,3.33,4.3,5.66,7.69,11.08,2.39,3.09,4.02,5.33,7.29,1.66,2.18,2.86,3.76,5.02,1.07,1.48,1.99,2.64,3.51,0.6,0.92,1.31,1.8,2.43,0.2,0.46,0.77,1.15,1.62
CASY,7.16,3.1,228.63,276.76,348.95,469.26,709.89,185.49,218.61,264.97,334.53,450.45,153.16,177.1,209.03,253.72,320.75,128.05,146.01,169.09,199.86,242.95,107.99,121.84,139.15,161.42,191.1,91.59,102.53,115.89,132.6,154.07,77.95,86.74,97.3,110.19,126.31
CAT,4.38,11.98,256.93,312.34,395.47,534.01,811.1,207.17,245.31,298.7,378.79,512.27,169.87,197.44,234.2,285.66,362.85,140.89,161.56,188.14,223.58,273.19,117.71,133.66,153.6,179.24,213.41,98.77,111.36,126.75,145.98,170.71,82.99,93.12,105.27,120.12,138.68
CBOE,6.0,25.83,248.66,288.25,347.63,446.6,644.53,213.15,240.4,278.54,335.75,431.1,186.54,206.23,232.49,269.25,324.39,165.87,180.63,199.62,224.93,260.38,149.34,160.73,174.98,193.29,217.7,135.84,144.83,155.82,169.56,187.23,124.59,131.83,140.51,151.12,164.38
CBRE,9.57,2.96,69.32,85.79,110.49,151.67,234.03,54.57,65.9,81.77,105.58,145.25,43.52,51.72,62.64,77.94,100.88,34.95,41.09,48.99,59.53,74.27,28.1,32.84,38.76,46.38,56.54,22.5,26.25,30.82,36.54,43.89,17.85,20.86,24.47,28.88,34.4
CDW,-1.89,5.56,100.65,123.19,157.0,213.34,326.03,80.34,95.85,117.56,150.13,204.42,65.09,76.3,91.25,112.18,143.57,53.22,61.63,72.44,86.85,107.03,43.72,50.21,58.32,68.74,82.64,35.94,41.06,47.32,55.14,65.2,29.46,33.57,38.51,44.55,52.1
COR,10.43,1.06,377.13,450.59,560.79,744.45,1111.78,311.38,361.93,432.72,538.89,715.84,262.14,298.69,347.41,415.63,517.96,223.91,251.32,286.55,333.53,399.3,193.38,214.53,240.96,274.94,320.25,168.45,185.14,205.54,231.04,263.83,147.72,161.14,177.25,196.94,221.55
CNC,10.45,2.57,270.38,312.7,376.17,481.97,693.56,232.51,261.63,302.4,363.56,465.49,204.14,225.2,253.27,292.56,351.51,182.12,197.91,218.21,245.27,283.16,164.54,176.72,191.94,211.52,237.62,150.18,159.79,171.54,186.23,205.12,138.24,145.97,155.25,166.59,180.76
CNP,0.13,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF,-10.0,25.2,107.72,125.17,151.34,194.97,282.23,91.87,103.88,120.7,145.92,187.95,79.96,88.64,100.22,116.42,140.73,70.67,77.18,85.55,96.71,112.33,63.22,68.24,74.52,82.59,93.35,57.1,61.06,65.91,71.96,79.75,51.98,55.17,58.99,63.67,69.52
CRL,0.33,10.39,81.89,104.28,137.87,193.85,305.81,61.74,77.15,98.72,131.08,185.02,46.62,57.76,72.61,93.4,124.59,34.86,43.21,53.95,68.27,88.32,25.45,31.89,39.95,50.31,64.12,17.75,22.83,29.05,36.82,46.82,11.33,15.42,20.33,26.33,33.83
SCHW,4.83,38.15,125.71,142.6,167.94,210.18,294.66,110.54,122.17,138.45,162.86,203.56,99.17,107.58,118.79,134.47,158.01,90.34,96.64,104.75,115.55,130.68,83.28,88.14,94.22,102.04,112.46,77.51,81.35,86.04,91.9,99.44,72.7,75.79,79.49,84.02,89.68
CHTR,0.46,7.54,,,,179.07,559.6,,,,,149.05,,,,,,,,,,,,,,,,,,,,,,,,,
CVX,-7.85,10.7,91.18,107.92,133.02,174.85,258.52,76.02,87.54,103.66,127.85,168.15,64.63,72.96,84.06,99.59,122.9,55.75,61.99,70.02,80.72,95.7,48.63,53.45,59.47,67.21,77.53,42.79,46.59,51.24,57.05,64.52,37.91,40.97,44.64,49.12,54.73
CMG,11.36,11.91,25.62,30.44,37.68,49.74,73.87,21.3,24.62,29.27,36.24,47.86,18.07,20.47,23.67,28.15,34.87,15.56,17.36,19.67,22.76,27.08,13.56,14.94,16.68,18.91,21.89,11.92,13.02,14.36,16.03,18.18,10.56,11.44,12.5,13.79,15.41
CB,11.56,25.46,991.15,1163.6,1422.26,1853.37,2715.59,836.9,955.58,1121.72,1370.94,1786.3,721.41,807.19,921.57,1081.7,1321.9,631.75,696.08,778.79,889.06,1043.45,560.17,609.8,671.84,751.61,857.96,501.72,540.9,588.78,648.64,725.59,453.13,484.64,522.44,568.66,626.42
CHD,4.89,15.13,71.09,83.87,103.05,135.01,198.93,59.61,68.41,80.73,99.2,130.0,51.01,57.37,65.85,77.72,95.53,44.33,49.1,55.23,63.4,74.85,38.98,42.66,47.26,53.18,61.06,34.62,37.52,41.07,45.51,51.21,30.98,33.32,36.12,39.54,43.83
CIEN,9.5,4.41,33.44,39.39,48.32,63.21,92.97,28.11,32.21,37.94,46.54,60.88,24.12,27.08,31.03,36.55,44.85,21.02,23.24,26.09,29.9,35.23,18.54,20.25,22.39,25.15,28.82,16.52,17.87,19.52,21.59,24.25,14.84,15.92,17.23,18.82,20.82
CI,15.29,2.75,791.7,939.81,1161.96,1532.22,2272.75,659.44,761.36,904.06,1118.1,1474.84,560.46,634.14,732.37,869.9,1076.2,483.66,538.91,609.94,704.65,837.25,422.37,465.0,518.29,586.8,678.14,372.37,406.02,447.14,498.55,564.65,330.82,357.88,390.35,430.04,479.65
CINF,24.39,24.75,887.1,1040.14,1269.7,1652.3,2417.5,750.88,856.2,1003.65,1224.83,1593.46,649.04,725.18,826.69,968.8,1181.97,570.11,627.2,700.6,798.47,935.49,507.2,551.25,606.31,677.1,771.49,455.93,490.7,533.19,586.31,654.61,413.38,441.34,474.9,515.91,567.17
CTAS,9.6,16.26,95.48,112.38,137.72,179.95,264.42,80.36,91.99,108.26,132.68,173.37,69.03,77.43,88.64,104.33,127.86,60.23,66.54,74.64,85.44,100.57,53.21,58.07,64.15,71.96,82.38,47.47,51.31,56.0,61.86,69.4,42.7,45.78,49.49,54.01,59.67
CSCO,3.19,25.14,62.83,73.58,89.71,116.59,170.35,53.16,60.56,70.92,86.46,112.36,45.92,51.27,58.4,68.39,83.37,40.29,44.3,49.46,56.34,65.96,35.79,38.88,42.75,47.73,54.36,32.11,34.55,37.53,41.27,46.07,29.04,31.0,33.36,36.24,39.84
C,4.59,1.0,145.27,146.86,149.25,153.22,161.17,143.85,144.94,146.47,148.77,152.6,142.78,143.57,144.62,146.1,148.31,141.94,142.54,143.3,144.32,145.74,141.28,141.74,142.31,143.05,144.03,140.74,141.1,141.54,142.09,142.8,140.28,140.57,140.92,141.35,141.88
CFG,0.93,33.11,110.37,127.58,153.38,196.38,282.38,94.9,106.73,123.31,148.17,189.6,83.29,91.85,103.26,119.23,143.19,74.26,80.68,88.93,99.93,115.33,67.04,71.99,78.18,86.13,96.74,61.13,65.04,69.81,75.78,83.46,56.2,59.35,63.12,67.73,73.49
CLX,-0.01,9.41,61.71,75.76,96.83,131.95,202.18,49.06,58.73,72.26,92.56,126.4,39.58,46.56,55.88,68.92,88.49,32.2,37.44,44.17,53.16,65.73,26.29,30.33,35.39,41.88,50.55,21.46,24.65,28.55,33.42,39.69,17.43,19.99,23.07,26.84,31.54
CME,9.11,40.0,168.89,197.28,239.87,310.85,452.81,143.47,163.0,190.36,231.39,299.78,124.42,138.55,157.38,183.74,223.29,109.63,120.22,133.84,152.0,177.42,97.82,105.99,116.21,129.34,146.85,88.17,94.62,102.5,112.36,125.03,80.14,85.33,91.56,99.16,108.67
CMS,-0.22,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO,3.69,16.15,26.91,32.4,40.63,54.34,81.76,21.99,25.76,31.05,38.97,52.18,18.3,21.02,24.66,29.75,37.39,15.42,17.47,20.1,23.61,28.52,13.13,14.71,16.68,19.22,22.6,11.25,12.5,14.02,15.93,18.37,9.69,10.69,11.89,13.36,15.2
CTSH,2.8,10.87,89.26,103.41,124.65,160.05,230.84,76.53,86.28,99.92,120.38,154.48,66.99,74.04,83.43,96.57,116.29,59.57,64.86,71.65,80.7,93.38,53.64,57.72,62.81,69.36,78.09,48.79,52.01,55.94,60.85,67.17,44.75,47.34,50.44,54.24,58.98
COHR,20.55,3.59,35.2,42.11,52.46,69.72,104.24,29.05,33.8,40.45,50.43,67.06,24.45,27.88,32.46,38.87,48.49,20.88,23.45,26.76,31.18,37.36,18.03,20.02,22.5,25.7,29.96,15.71,17.28,19.2,21.59,24.68,13.79,15.05,16.56,18.41,20.72
COIN,30.0,13.28,242.04,282.51,343.21,444.39,646.74,206.08,233.93,272.92,331.41,428.89,179.2,199.34,226.18,263.76,320.13,158.39,173.48,192.89,218.78,255.01,141.8,153.45,168.01,186.73,211.69,128.3,137.49,148.73,162.78,180.84,117.1,124.49,133.37,144.21,157.77
CL,4.29,15.36,67.89,80.16,98.58,129.27,190.66,56.86,65.31,77.14,94.88,124.46,48.6,54.71,62.85,74.25,91.35,42.17,46.75,52.64,60.49,71.49,37.04,40.57,44.99,50.67,58.24,32.84,35.63,39.04,43.3,48.78,29.35,31.59,34.28,37.57,41.68
CMCSA,0.62,11.69,43.3,53.94,69.91,96.53,149.77,33.71,41.04,51.3,66.69,92.33,26.53,31.82,38.89,48.77,63.6,20.94,24.91,30.01,36.82,46.36,16.46,19.53,23.36,28.28,34.85,12.8,15.22,18.18,21.87,26.63,9.75,11.7,14.03,16.89,20.45
FIX,30.0,9.6,1331.62,1566.17,1917.99,2504.35,3677.08,1123.21,1284.63,1510.61,1849.58,2414.52,967.48,1084.16,1239.73,1457.53,1784.23,846.84,934.33,1046.83,1196.82,1406.8,750.74,818.25,902.63,1011.12,1155.78,672.47,725.76,790.88,872.3,976.97,607.56,650.41,701.84,764.69,843.26
CAG,0.22,9.01,20.37,26.0,34.44,48.5,76.64,15.31,19.18,24.6,32.73,46.28,11.51,14.31,18.04,23.26,31.1,8.55,10.65,13.35,16.95,21.99,6.19,7.81,9.83,12.43,15.9,4.25,5.53,7.09,9.05,11.56,2.64,3.67,4.9,6.41,8.29
COP,-9.11,16.39,70.09,82.6,101.37,132.65,195.21,58.74,67.35,79.41,97.49,127.63,50.21,56.43,64.73,76.35,93.78,43.56,48.22,54.23,62.23,73.43,38.22,41.82,46.32,52.11,59.83,33.84,36.68,40.16,44.5,50.09,30.18,32.47,35.21,38.56,42.76
ED,2.59,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STZ,-1.12,18.0,81.86,104.82,139.27,196.69,311.52,61.16,76.97,99.1,132.29,187.61,45.64,57.06,72.29,93.62,125.61,33.55,42.12,53.14,67.82,88.38,23.88,30.49,38.76,49.38,63.54,15.97,21.18,27.56,35.53,45.78,9.37,13.56,18.6,24.75,32.45
CEG,1.47,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COO,7.35,9.4,31.77,38.92,49.64,67.5,103.22,25.37,30.29,37.17,47.5,64.71,20.57,24.13,28.87,35.5,45.45,16.84,19.51,22.94,27.51,33.9,13.87,15.92,18.49,21.8,26.21,11.43,13.06,15.04,17.52,20.71,9.41,10.71,12.28,14.2,16.59
CPRT,9.9,23.76,33.85,38.72,46.01,58.17,82.48,29.5,32.85,37.53,44.56,56.27,26.24,28.66,31.88,36.4,43.17,23.71,25.52,27.85,30.96,35.32,21.69,23.09,24.84,27.08,30.08,20.04,21.14,22.49,24.18,26.35,18.66,19.55,20.62,21.92,23.55
GLW,3.27,7.12,14.56,18.42,24.21,33.87,53.18,11.09,13.74,17.47,23.05,32.35,8.48,10.41,12.97,16.55,21.93,6.46,7.9,9.76,12.23,15.68,4.85,5.96,7.35,9.13,11.52,3.52,4.4,5.47,6.81,8.54,2.42,3.13,3.97,5.01,6.3
CPAY,9.73,35.63,483.33,583.22,733.05,982.77,1482.2,393.9,462.65,558.88,703.24,943.84,326.93,376.62,442.87,535.63,674.76,274.92,312.18,360.09,423.97,513.4,233.39,262.14,298.07,344.28,405.88,199.46,222.16,249.89,284.56,329.14,171.25,189.5,211.4,238.17,271.63
CTVA,-0.1,8.42,33.03,38.57,46.89,60.74,88.45,28.04,31.86,37.19,45.2,58.55,24.3,27.06,30.73,35.88,43.6,21.39,23.45,26.11,29.66,34.62,19.06,20.65,22.65,25.21,28.63,17.15,18.41,19.95,21.87,24.34,15.56,16.57,17.79,19.27,21.13
CSGP,14.16,6.02,14.2,16.57,20.11,26.01,37.81,12.1,13.72,15.99,19.41,25.09,10.52,11.69,13.26,15.45,18.74,9.29,10.17,11.31,12.81,14.93,8.32,8.99,9.84,10.94,12.39,7.52,8.05,8.71,9.53,10.58,6.85,7.29,7.8,8.44,9.23
COST,6.64,2.44,328.27,381.49,461.31,594.34,860.41,280.56,317.18,368.45,445.35,573.53,244.8,271.28,306.57,355.99,430.11,217.03,236.88,262.4,296.43,344.07,194.83,210.15,229.29,253.91,286.72,176.69,188.78,203.56,222.03,245.77,161.59,171.32,182.98,197.24,215.07
CRH,4.6,7.67,58.92,72.6,93.12,127.32,195.73,46.64,56.06,69.24,89.01,121.96,37.44,44.24,53.32,66.02,85.07,30.28,35.38,41.95,50.69,62.94,24.56,28.5,33.42,39.75,48.19,19.89,22.99,26.79,31.54,37.65,15.99,18.49,21.49,25.16,29.74
CRWD,29.01,28.33,292.9,341.55,414.54,536.19,779.49,249.65,283.13,330.02,400.34,517.54,217.33,241.53,273.81,318.99,386.77,192.29,210.44,233.78,264.89,308.46,172.34,186.34,203.85,226.36,256.37,156.09,167.15,180.66,197.55,219.26,142.61,151.5,162.17,175.21,191.51
CCI,-10.0,40.0,,,,0.68,30.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSX,-1.74,19.01,11.61,14.97,20.01,28.41,45.2,8.59,10.9,14.13,18.99,27.08,6.31,7.99,10.21,13.33,18.01,4.55,5.8,7.41,9.56,12.56,3.13,4.1,5.31,6.86,8.93,1.97,2.74,3.67,4.83,6.33,1.01,1.62,2.36,3.26,4.38
CMI,6.25,4.93,217.59,258.99,321.09,424.58,631.57,180.46,208.95,248.84,308.67,408.38,152.64,173.23,200.69,239.13,296.8,131.02,146.46,166.32,192.79,229.86,113.75,125.66,140.55,159.7,185.24,99.63,109.03,120.53,134.9,153.37,87.88,95.44,104.52,115.61,129.48
CVS,7.63,2.68,137.14,168.14,214.65,292.17,447.19,109.35,130.69,160.56,205.37,280.05,88.53,103.96,124.52,153.31,196.5,72.36,83.93,98.8,118.63,146.39,59.44,68.37,79.52,93.86,112.99,48.89,55.93,64.54,75.3,89.14,40.1,45.77,52.57,60.88,71.26
DHR,-2.67,23.89,98.69,117.12,144.75,190.81,282.93,82.07,94.75,112.5,139.13,183.51,69.6,78.76,90.98,108.09,133.76,59.89,66.76,75.6,87.38,103.88,52.11,57.42,64.05,72.57,83.93,45.75,49.93,55.05,61.44,69.67,40.44,43.8,47.84,52.78,58.95
DRI,7.84,8.77,140.02,174.3,225.73,311.45,482.87,109.29,132.89,165.92,215.47,298.05,86.28,103.33,126.07,157.91,205.67,68.4,81.19,97.63,119.56,150.25,54.11,63.98,76.32,92.18,113.32,42.45,50.23,59.75,71.66,86.96,32.74,39.0,46.52,55.7,67.19
DDOG,26.95,26.19,141.17,163.92,198.04,254.91,368.64,120.94,136.6,158.51,191.39,246.18,105.82,117.14,132.23,153.35,185.03,94.11,102.59,113.5,128.05,148.41,84.77,91.32,99.5,110.02,124.05,77.17,82.33,88.65,96.54,106.7,70.86,75.01,80.0,86.09,93.71
DVA,5.53,10.4,257.76,331.35,441.72,625.68,993.59,191.74,242.38,313.27,419.62,596.86,142.26,178.87,227.67,296.0,398.5,103.81,131.26,166.55,213.61,279.49,73.08,94.26,120.73,154.77,200.15,47.96,64.68,85.11,110.65,143.49,27.05,40.5,56.63,76.35,101.0
DECK,14.69,18.47,229.37,266.09,321.17,412.97,596.58,196.56,221.83,257.22,310.29,398.74,172.01,190.28,214.64,248.74,299.89,152.96,166.66,184.27,207.76,240.63,137.76,148.33,161.54,178.53,201.18,125.36,133.7,143.9,156.64,173.03,115.05,121.76,129.81,139.65,151.95
DE,-4.5,6.15,,7.46,38.32,89.74,192.59,,,2.29,32.01,81.56,,,,,25.99,,,,,,,,,,,,,,,,,,,,
DELL,3.53,4.18,214.65,258.86,325.17,435.68,656.72,174.94,205.36,247.95,311.84,418.32,145.17,167.16,196.48,237.53,299.11,122.03,138.52,159.72,187.99,227.57,103.52,116.25,132.15,152.6,179.86,88.39,98.44,110.71,126.05,145.78,75.79,83.87,93.56,105.41,120.21
DAL,7.8,3.18,44.3,55.64,72.65,101.0,157.7,34.14,41.95,52.87,69.26,96.57,26.53,32.17,39.69,50.22,66.02,20.61,24.84,30.28,37.54,47.69,15.89,19.15,23.23,28.48,35.47,12.03,14.61,17.76,21.69,26.75,8.82,10.89,13.38,16.42,20.21
DVN,-3.57,11.43,17.32,20.93,26.35,35.37,53.42,14.06,16.55,20.03,25.24,33.94,11.62,13.41,15.81,19.16,24.19,9.71,11.06,12.79,15.1,18.33,8.19,9.23,10.52,12.19,14.42,6.94,7.76,8.76,10.01,11.62,5.89,6.55,7.35,8.31,9.52
DXCM,17.01,15.84,65.66,76.33,92.34,119.03,172.4,56.13,63.48,73.76,89.19,114.9,49.01,54.32,61.4,71.31,86.18,43.48,47.46,52.58,59.41,68.96,39.07,42.14,45.98,50.92,57.5,35.47,37.89,40.86,44.56,49.33,32.48,34.43,36.77,39.63,43.21
FANG,15.99,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLR,9.22,36.35,103.22,128.21,165.69,228.16,353.09,80.85,98.04,122.12,158.23,218.41,64.09,76.52,93.09,116.29,151.1,51.07,60.39,72.38,88.36,110.73,40.68,47.87,56.86,68.42,83.83,32.18,37.86,44.8,53.47,64.62,25.12,29.69,35.17,41.86,50.23
DG,4.13,3.17,52.85,71.93,100.56,148.26,243.68,35.71,48.84,67.23,94.81,140.77,22.87,32.36,45.02,62.74,89.32,12.88,20.0,29.15,41.36,58.44,4.9,10.39,17.26,26.09,37.85,,2.71,8.01,14.63,23.15,,,0.61,5.72,12.12
DLTR,8.0,7.82,145.59,175.1,219.36,293.12,440.65,119.15,139.46,167.89,210.53,281.6,99.35,114.02,133.6,160.99,202.09,83.96,94.97,109.12,127.99,154.41,71.67,80.16,90.78,104.43,122.63,61.63,68.33,76.53,86.77,99.94,53.28,58.67,65.14,73.04,82.93
D,5.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPZ,2.88,10.97,150.32,198.05,269.64,388.95,627.57,107.44,140.28,186.26,255.23,370.18,75.28,99.02,130.68,174.99,241.47,50.28,68.08,90.97,121.49,164.22,30.29,44.02,61.19,83.27,112.7,13.94,24.78,38.03,54.6,75.9,0.32,9.04,19.5,32.29,48.28
DASH,27.73,11.51,195.81,229.01,278.8,361.78,527.76,166.3,189.14,221.13,269.1,349.05,144.24,160.75,182.77,213.6,259.83,127.15,139.53,155.45,176.68,206.4,113.53,123.09,135.03,150.38,170.86,102.44,109.98,119.2,130.72,145.53,93.23,99.3,106.58,115.47,126.59
DOV,1.04,10.96,98.85,116.5,142.96,187.07,275.28,82.98,95.12,112.12,137.62,180.11,71.07,79.85,91.55,107.94,132.51,61.81,68.4,76.86,88.14,103.94,54.41,59.48,65.83,73.99,84.87,48.35,52.35,57.25,63.38,71.25,43.3,46.52,50.39,55.12,61.03
DOW,-10.0,2.91,,,1.21,7.27,19.38,,,,0.45,6.29,,,,,,,,,,,,,,,,,,,,,,,,,
DHI,0.76,7.01,124.37,146.73,180.28,236.19,348.01,104.24,119.63,141.18,173.5,227.37,89.15,100.27,115.11,135.87,167.03,77.41,85.75,96.48,110.78,130.8,68.01,74.45,82.5,92.84,106.63,60.33,65.41,71.62,79.38,89.36,53.92,58.01,62.91,68.91,76.4
DTE,-6.31,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUK,3.87,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD,-10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETN,9.77,12.19,157.14,192.07,244.47,331.8,506.46,125.86,149.9,183.56,234.05,318.19,102.44,119.82,142.99,175.43,224.09,84.25,97.28,114.04,136.38,167.65,69.73,79.78,92.35,108.51,130.05,57.87,65.8,75.5,87.63,103.22,48.0,54.38,62.04,71.4,83.1
EBAY,4.26,17.46,77.21,90.88,111.4,145.58,213.96,64.93,74.34,87.52,107.28,140.22,55.73,62.53,71.6,84.3,103.35,48.57,53.67,60.23,68.98,81.22,42.85,46.79,51.71,58.04,66.47,38.18,41.28,45.08,49.83,55.93,34.28,36.78,39.78,43.45,48.03
SATS,-6.97,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECL,4.26,10.42,84.5,103.15,131.12,177.74,270.99,67.75,80.58,98.55,125.51,170.43,55.2,64.47,76.84,94.16,120.14,45.44,52.4,61.34,73.27,89.97,37.64,43.01,49.72,58.34,69.85,31.26,35.5,40.68,47.15,55.48,25.95,29.36,33.45,38.45,44.69
EIX,3.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EW,10.77,15.18,46.05,52.83,63.01,79.96,113.87,39.98,44.65,51.18,60.98,77.32,35.43,38.81,43.31,49.61,59.05,31.91,34.44,37.69,42.03,48.1,29.09,31.04,33.48,36.62,40.8,26.79,28.33,30.21,32.57,35.59,24.87,26.11,27.6,29.42,31.69
EA,0.47,25.45,130.18,150.08,179.92,229.67,329.17,112.26,125.96,145.13,173.89,221.82,98.83,108.73,121.93,140.41,168.13,88.38,95.8,105.35,118.07,135.89,80.02,85.75,92.91,102.11,114.38,73.18,77.7,83.22,90.13,99.01,67.47,71.11,75.47,80.81,87.47
ELV,8.34,3.19,699.07,809.95,976.27,1253.48,1807.9,599.72,676.03,782.87,943.12,1210.2,525.31,580.47,654.02,756.98,911.43,467.51,508.87,562.06,632.97,732.24,421.34,453.25,493.15,544.44,612.83,383.62,408.81,439.6,478.09,527.57,352.24,372.5,396.81,426.53,463.67
EME,15.32,6.68,795.0,927.48,1126.19,1457.37,2119.74,676.7,767.87,895.5,1086.95,1406.04,588.17,654.07,741.94,864.95,1049.47,519.47,568.89,632.43,717.15,835.75,464.66,502.79,550.45,611.73,693.43,419.94,450.03,486.82,532.8,591.92,382.77,406.98,436.02,471.52,515.9
EMR,9.28,13.07,79.12,95.78,120.77,162.42,245.71,64.2,75.67,91.72,115.8,155.92,53.03,61.32,72.37,87.84,111.04,44.35,50.57,58.56,69.21,84.13,37.42,42.22,48.21,55.92,66.19,31.76,35.55,40.17,45.96,53.39,27.06,30.1,33.75,38.22,43.8
ETR,-2.02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOG,-8.51,20.72,87.31,101.62,123.09,158.87,230.44,74.34,84.19,97.98,118.66,153.14,64.58,71.7,81.2,94.49,114.42,56.98,62.32,69.18,78.34,91.15,50.88,55.0,60.15,66.77,75.6,45.88,49.13,53.11,58.07,64.46,41.7,44.32,47.45,51.29,56.08
EQT,-10.0,21.21,19.7,23.95,30.33,40.96,62.23,15.84,18.76,22.86,29.01,39.25,12.93,15.05,17.87,21.82,27.74,10.67,12.25,14.29,17.01,20.82,8.85,10.08,11.61,13.57,16.2,7.36,8.33,9.51,10.98,12.88,6.11,6.89,7.82,8.96,10.39
EFX,5.85,11.34,77.23,96.78,126.1,174.97,272.71,59.69,73.15,91.98,120.23,167.32,46.55,56.28,69.24,87.39,114.62,36.34,43.63,53.01,65.51,83.01,28.18,33.8,40.84,49.88,61.94,21.51,25.95,31.38,38.16,46.89,15.96,19.53,23.81,29.05,35.6
EQIX,8.27,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQR,4.19,40.0,40.96,51.28,66.75,92.54,144.11,31.7,38.8,48.74,63.64,88.49,24.76,29.89,36.73,46.31,60.68,19.36,23.21,28.16,34.75,43.99,15.05,18.02,21.73,26.5,32.86,11.52,13.87,16.73,20.31,24.91,8.59,10.47,12.73,15.5,18.95
ERIE,13.32,11.39,295.41,344.02,416.92,538.44,781.47,251.97,285.42,332.25,402.49,519.57,219.45,243.63,275.87,321.0,388.7,194.21,212.34,235.65,266.74,310.25,174.06,188.05,205.54,228.02,258.0,157.62,168.66,182.16,199.03,220.72,143.95,152.83,163.49,176.52,192.8
ESS,5.51,40.0,134.64,173.71,232.3,329.96,525.29,99.59,126.48,164.11,220.57,314.66,73.32,92.76,118.67,154.94,209.36,52.91,67.48,86.22,111.2,146.18,36.6,47.84,61.9,79.97,104.06,23.26,32.14,42.98,56.54,73.98,12.16,19.3,27.86,38.33,51.42
EL,-6.87,3.85,1.27,5.24,11.2,21.12,40.98,,0.41,4.23,9.97,19.54,,,,3.27,8.8,,,,,2.35,,,,,,,,,,,,,,,
EG,12.84,27.29,3306.06,3858.35,4686.79,6067.53,8829.01,2812.31,3192.4,3724.52,4522.71,5853.01,2442.7,2717.45,3083.78,3596.64,4365.94,2155.82,2361.84,2626.74,2979.93,3474.39,1926.81,2085.78,2284.48,2539.95,2880.59,1739.88,1865.36,2018.72,2210.42,2456.89,1584.49,1685.4,1806.5,1954.5,2139.5
EVRG,0.58,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,3.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXC,8.34,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXE,2.13,10.22,80.26,94.97,117.04,153.82,227.38,67.03,77.15,91.33,112.59,148.03,57.11,64.43,74.19,87.85,108.34,49.4,54.89,61.94,71.35,84.52,43.23,47.46,52.76,59.56,68.64,38.18,41.53,45.61,50.72,57.28,33.98,36.67,39.89,43.84,48.76
EXPE,8.09,19.07,570.54,662.62,800.73,1030.92,1491.31,488.04,551.4,640.12,773.19,994.97,426.23,472.04,533.11,618.61,746.87,378.23,412.58,456.74,515.62,598.06,339.88,366.38,399.51,442.1,498.89,308.55,329.47,355.04,386.99,428.09,282.48,299.31,319.49,344.17,375.01
EXPD,-10.0,9.48,87.21,99.25,117.33,147.45,207.69,76.27,84.56,96.17,113.58,142.6,68.04,74.04,82.03,93.22,110.0,61.63,66.12,71.9,79.61,90.39,56.48,59.95,64.28,69.86,77.29,52.26,54.99,58.34,62.52,67.9,48.72,50.93,53.57,56.8,60.83
