symbol,cagr,avg_fcf_margin,wacc_7_tgr_1,wacc_7_tgr_2,wacc_7_tgr_3,wacc_7_tgr_4,wacc_7_tgr_5,wacc_8_tgr_1,wacc_8_tgr_2,wacc_8_tgr_3,wacc_8_tgr_4,wacc_8_tgr_5,wacc_9_tgr_1,wacc_9_tgr_2,wacc_9_tgr_3,wacc_9_tgr_4,wacc_9_tgr_5,wacc_10_tgr_1,wacc_10_tgr_2,wacc_10_tgr_3,wacc_10_tgr_4,wacc_10_tgr_5,wacc_11_tgr_1,wacc_11_tgr_2,wacc_11_tgr_3,wacc_11_tgr_4,wacc_11_tgr_5,wacc_12_tgr_1,wacc_12_tgr_2,wacc_12_tgr_3,wacc_12_tgr_4,wacc_12_tgr_5,wacc_13_tgr_1,wacc_13_tgr_2,wacc_13_tgr_3,wacc_13_tgr_4,wacc_13_tgr_5
GOOG,12.51,20.7,423.5,493.25,597.87,772.25,1120.99,361.13,409.14,476.34,577.14,745.15,314.45,349.15,395.41,460.18,557.33,278.21,304.23,337.68,382.29,444.73,249.28,269.35,294.45,326.71,369.73,225.66,241.51,260.88,285.09,316.21,206.03,218.78,234.07,252.76,276.12
MO,-0.89,40.0,62.02,73.75,91.35,120.67,179.32,51.45,59.53,70.83,87.78,116.03,43.53,49.36,57.14,68.03,84.37,37.36,41.73,47.36,54.86,65.36,32.42,35.79,40.01,45.44,52.67,28.38,31.04,34.3,38.37,43.6,25.01,27.15,29.72,32.87,36.79
AMZN,11.73,2.14,29.28,35.59,45.04,60.81,92.33,23.64,27.98,34.06,43.17,58.35,19.42,22.56,26.74,32.59,41.38,16.14,18.5,21.52,25.55,31.2,13.53,15.34,17.61,20.53,24.41,11.39,12.82,14.57,16.76,19.58,9.61,10.77,12.15,13.84,15.95
AMCR,1.05,5.84,,4.22,11.84,24.53,49.92,,,2.96,10.3,22.53,,,,1.76,8.83,,,,,0.61,,,,,,,,,,,,,,,
AEE,3.41,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEP,3.66,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXP,10.97,26.25,706.74,825.65,1004.01,1301.28,1895.83,600.35,682.18,796.74,968.59,1255.01,520.68,579.83,658.7,769.12,934.75,458.83,503.19,560.22,636.26,742.72,409.44,443.67,486.45,541.45,614.79,369.11,396.13,429.15,470.42,523.49,335.58,357.31,383.38,415.24,455.07
AIG,-3.69,15.13,104.95,121.04,145.19,185.42,265.9,90.42,101.49,117.0,140.26,179.03,79.51,87.52,98.19,113.14,135.56,71.02,77.02,84.74,95.03,109.44,64.21,68.85,74.64,82.08,92.01,58.64,62.3,66.77,72.35,79.54,53.99,56.93,60.46,64.78,70.17
AMT,3.34,30.05,34.65,55.22,86.09,137.52,240.4,16.16,30.32,50.15,79.88,129.44,2.31,12.54,26.19,45.29,73.95,,,9.08,22.23,40.65,,,,5.76,18.45,,,,,2.59,,,,,
AWK,10.67,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMP,9.03,34.99,1766.26,2048.06,2470.77,3175.28,4584.3,1513.88,1707.81,1979.32,2386.59,3065.37,1324.84,1465.03,1651.95,1913.63,2306.16,1178.04,1283.16,1418.32,1598.53,1850.83,1060.77,1141.88,1243.27,1373.62,1547.43,964.99,1029.02,1107.27,1205.08,1330.84,885.32,936.81,998.59,1074.11,1168.51
AME,6.36,21.94,141.95,166.48,203.27,264.59,387.24,119.95,136.83,160.47,195.91,255.0,103.47,115.67,131.94,154.72,188.88,90.66,99.81,111.58,127.26,149.22,80.43,87.49,96.31,107.66,122.79,72.06,77.64,84.45,92.96,103.91,65.1,69.58,74.96,81.53,89.75
AMGN,11.77,28.15,426.84,511.86,639.4,851.97,1277.1,350.79,409.3,491.22,614.1,818.91,293.85,336.15,392.55,471.5,589.93,249.65,281.37,322.15,376.52,452.65,214.36,238.83,269.42,308.75,361.2,185.55,204.87,228.48,257.99,295.94,161.6,177.13,195.78,218.56,247.04
APH,22.31,16.11,110.8,131.85,163.42,216.04,321.27,92.06,106.54,126.82,157.24,207.93,78.04,88.51,102.47,122.01,151.33,67.17,75.03,85.12,98.58,117.42,58.51,64.57,72.14,81.88,94.86,51.45,56.23,62.07,69.38,78.77,45.59,49.43,54.05,59.69,66.74
ADI,-2.84,33.07,95.2,111.68,136.39,177.57,259.94,80.34,91.68,107.55,131.36,171.04,69.18,77.38,88.31,103.6,126.55,60.5,66.65,74.55,85.08,99.83,53.55,58.29,64.21,71.84,82.0,47.85,51.59,56.17,61.89,69.24,43.1,46.11,49.72,54.14,59.66
AON,11.25,21.17,377.56,451.37,562.08,746.59,1115.62,311.53,362.33,433.44,540.1,717.88,262.1,298.81,347.77,416.3,519.1,223.71,251.24,286.64,333.84,399.92,193.07,214.31,240.86,275.0,320.52,168.04,184.81,205.31,230.92,263.86,147.24,160.72,176.9,196.68,221.41
APA,-6.96,14.88,32.01,38.67,48.66,65.31,98.6,25.98,30.57,36.98,46.61,62.65,21.46,24.77,29.18,35.37,44.64,17.93,20.41,23.6,27.86,33.82,15.1,17.01,19.41,22.49,26.6,12.78,14.29,16.14,18.45,21.42,10.84,12.06,13.52,15.3,17.53
APO,30.0,22.24,669.51,786.26,961.4,1253.3,1837.09,565.76,646.11,758.61,927.35,1208.58,488.24,546.32,623.76,732.18,894.82,428.18,471.73,527.73,602.4,706.93,380.34,413.95,455.95,509.96,581.97,341.38,367.9,400.33,440.85,492.96,309.06,330.4,356.0,387.29,426.4
AAPL,1.81,26.45,129.66,150.51,181.79,233.91,338.16,110.91,125.26,145.35,175.48,225.7,96.85,107.22,121.05,140.41,169.46,85.92,93.7,103.7,117.03,135.7,77.17,83.17,90.68,100.32,113.18,70.02,74.76,80.55,87.78,97.09,64.06,67.87,72.44,78.03,85.01
AMAT,3.23,23.54,157.4,182.48,220.09,282.79,408.17,134.87,152.13,176.29,212.53,272.93,117.98,130.45,147.08,170.37,205.3,104.84,114.2,126.23,142.26,164.71,94.34,101.56,110.58,122.18,137.65,85.76,91.45,98.42,107.12,118.31,78.6,83.19,88.68,95.4,103.8
APP,24.84,40.0,315.68,370.96,453.9,592.12,868.56,266.47,304.52,357.79,437.7,570.87,229.69,257.19,293.87,345.21,422.22,201.18,221.8,248.32,283.68,333.18,178.46,194.37,214.26,239.84,273.94,159.94,172.5,187.85,207.05,231.72,144.58,154.68,166.8,181.62,200.14
APTV,5.26,5.76,80.76,99.0,126.35,171.94,263.12,64.4,76.95,94.52,120.87,164.8,52.14,61.21,73.3,90.24,115.64,42.6,49.41,58.15,69.81,86.14,34.99,40.24,46.8,55.23,66.48,28.76,32.9,37.97,44.3,52.43,23.58,26.91,30.91,35.79,41.9
ACGL,26.14,38.22,989.23,1160.65,1417.78,1846.33,2703.43,836.74,954.71,1119.87,1367.61,1780.5,722.75,808.03,921.73,1080.91,1319.68,634.42,698.36,780.58,890.2,1043.67,564.02,613.36,675.04,754.33,860.05,506.67,545.61,593.21,652.71,729.21,459.08,490.4,527.99,573.93,631.35
ADM,-7.54,2.99,35.95,44.51,57.34,78.72,121.48,28.21,34.09,42.33,54.7,75.3,22.39,26.64,32.31,40.26,52.17,17.85,21.04,25.14,30.61,38.27,14.21,16.67,19.75,23.71,28.98,11.23,13.17,15.55,18.52,22.33,8.74,10.3,12.17,14.47,17.33
ARES,22.39,23.26,180.91,221.9,283.38,385.85,590.78,144.41,172.61,212.1,271.34,370.06,117.11,137.5,164.69,202.75,259.84,95.95,111.24,130.9,157.11,193.8,79.08,90.87,105.62,124.58,149.86,65.32,74.64,86.02,100.24,118.54,53.91,61.4,70.38,81.37,95.1
ANET,27.15,36.02,134.8,156.57,189.22,243.63,352.47,115.44,130.42,151.39,182.85,235.28,100.98,111.8,126.24,146.45,176.77,89.76,97.88,108.32,122.24,141.73,80.83,87.1,94.93,105.0,118.42,73.55,78.5,84.54,92.1,101.81,67.52,71.49,76.27,82.1,89.39
AJG,17.7,16.57,257.66,309.32,386.81,515.95,774.25,211.57,247.12,296.9,371.55,495.98,177.09,202.79,237.06,285.03,356.98,150.35,169.62,194.39,227.43,273.68,129.01,143.88,162.47,186.36,218.22,111.61,123.35,137.69,155.62,178.67,97.15,106.59,117.92,131.76,149.07
