symbol,name,current_price,fair_value_per_share,upside_pct,predicted_ev
ROL,"Rollins, Inc.",47.78,46.49185945316085,-2.7,2.3334738e+10
ROP,"Roper Technologies, Inc.",333.705,331.6843476254665,-0.6,4.355381e+10
ROST,"Ross Stores, Inc.",231.466,235.6941853016292,1.8,7.6198404e+10
RCL,Royal Caribbean Cruises Ltd.,283.49,293.60163855118867,3.6,1.00022485e+11
SPGI,S&P Global Inc.,426.765,437.565436972973,2.5,1.4160937e+11
CRM,"Salesforce, Inc.",186.355,190.13110622710622,2.0,1.8642838e+11
SBAC,SBA Communications Corporation,208.715,207.5693016350836,-0.5,3.7167813e+10
SLB,SLB N.V.,55.035,59.153252417600235,7.5,9.661452e+10
STX,Seagate Technology Holdings plc,856.29,914.3742991557259,6.8,2.0991112e+11
SRE,Sempra,91.925,106.4039495684779,15.8,1.051942e+11
NOW,"ServiceNow, Inc.",112.795,118.42444951071843,5.0,1.1938108e+11
SHW,The Sherwin-Williams Company,304.495,296.34247649896446,-2.7,8.747311e+10
SPG,"Simon Property Group, Inc.",210.34,210.62406228812418,0.1,9.674767e+10
SWKS,"Skyworks Solutions, Inc.",74.38,80.16149753317958,7.8,1.1824567e+10
SJM,The J. M. Smucker Company,104.29,101.3776747104659,-2.8,1.8257258e+10
SW,Smurfit Westrock Plc,41.4703,42.11177335199685,1.5,3.566711e+10
SNA,Snap-on Incorporated,381.245,377.8287453305781,-0.9,1.9119653e+10
SOLV,Solventum Corporation,81.1,62.90254313805355,-22.4,1.562213e+10
SO,The Southern Company,93.31,119.17358692397903,27.7,2.0936851e+11
LUV,Southwest Airlines Co.,41.45,41.43423613290758,-0.0,2.3319966e+10
SWK,"Stanley Black & Decker, Inc.",78.73,79.04333346344553,0.4,1.8920526e+10
SBUX,Starbucks Corporation,95.7,93.86475042906028,-1.9,1.2968586e+11
STLD,"Steel Dynamics, Inc.",268.12,275.19336433849094,2.6,4.3330666e+10
STE,STERIS plc,213.18,213.44007640789064,0.1,2.2479782e+10
SYK,Stryker Corporation,307.505,297.99743304976005,-3.1,1.2650952e+11
SMCI,"Super Micro Computer, Inc.",41.505,46.90413727591431,13.0,3.605514e+10
SNPS,"Synopsys, Inc.",466.59,495.0015748384323,6.1,1.0314009e+11
SYY,Sysco Corporation,76.0,74.26367747778899,-2.3,4.90096e+10
TMUS,"T-Mobile US, Inc.",179.93,142.47967762276903,-20.8,2.7280618e+11
TROW,"T. Rowe Price Group, Inc.",105.93,112.06415737970853,5.8,2.0741407e+10
TTWO,"Take-Two Interactive Software, Inc.",214.16,215.8146280896964,0.8,4.103858e+10
TPR,"Tapestry, Inc.",140.09,141.31530524475883,0.9,3.140661e+10
TRGP,Targa Resources Corp.,266.12,268.0424683108749,0.7,7.656538e+10
TGT,Target Corporation,122.8401,133.81247256110993,8.9,7.6514435e+10
TEL,TE Connectivity plc,213.87,223.01223567797905,4.3,6.9847335e+10
TDY,Teledyne Technologies Incorporated,605.7799,617.4333583327192,1.9,3.0560055e+10
TER,"Teradyne, Inc.",362.61,407.10049863754915,12.3,6.3565193e+10
TSLA,"Tesla, Inc.",392.07,420.13744285515395,7.2,1.5490672e+12
TXN,Texas Instruments Incorporated,288.24,306.96291776252514,6.5,2.8831174e+11
TPL,Texas Pacific Land Corporation,394.64,406.11739924661066,2.9,2.7782132e+10
TXT,Textron Inc.,91.545,102.54479211652865,12.0,2.053741e+10
TMO,Thermo Fisher Scientific Inc.,474.0575,388.9637602930175,-18.0,1.8445228e+11
TJX,"The TJX Companies, Inc.",161.425,157.9547643388411,-2.1,1.8309333e+11
TKO,"TKO Group Holdings, Inc.",203.995,477.6040382099095,134.1,3.9980868e+10
TTD,"The Trade Desk, Inc.",20.015,24.46204536727906,22.2,9.462947e+09
TSCO,Tractor Supply Company,29.86,29.199936750454214,-2.2,2.1498405e+10
TT,Trane Technologies plc,454.355,461.232762344088,1.5,1.0549983e+11
TDG,TransDigm Group Incorporated,1227.325,1220.7004857171407,-0.5,9.639015e+10
TRMB,Trimble Inc.,54.325,55.60781809327921,2.4,1.4141523e+10
TYL,"Tyler Technologies, Inc.",312.46,315.4560535218837,1.0,1.2679643e+10
TSN,"Tyson Foods, Inc.",59.35,71.53859934487474,20.5,2.7765498e+10
UBER,"Uber Technologies, Inc.",70.45,72.48539535030714,2.9,1.538792e+11
UDR,"UDR, Inc.",39.43,41.474993954815716,5.2,1.9318815e+10
ULTA,"Ulta Beauty, Inc.",468.4,452.11164905620376,-3.5,2.1517111e+10
UNP,Union Pacific Corporation,273.275,245.08198646406072,-10.3,1.7597841e+11
UAL,"United Airlines Holdings, Inc.",105.24,105.22235862982268,-0.0,5.0955993e+10
UPS,"United Parcel Service, Inc.",109.825,121.31590488134793,10.5,1.1343225e+11
URI,"United Rentals, Inc.",1067.205,1087.756137915129,1.9,8.300718e+10
UNH,UnitedHealth Group Incorporated,401.5901,404.4974891460103,0.7,4.1403014e+11
UHS,"Universal Health Services, Inc.",146.215,166.46062425848143,13.8,1.3877077e+10
VLO,Valero Energy Corporation,258.905,267.62003572916376,3.4,8.522316e+10
VEEV,Veeva Systems Inc.,174.22,178.68444126925573,2.6,2.1951416e+10
VLTO,Veralto Corporation,86.565,84.92650892531576,-1.9,2.2298888e+10
VRSN,"VeriSign, Inc.",295.62,380.837082021978,28.8,3.5894374e+10
VRSK,"Verisk Analytics, Inc.",182.54,179.72952784054934,-1.5,2.7648494e+10
VZ,Verizon Communications Inc.,45.97,44.896232616677416,-2.3,3.7998687e+11
VRTX,Vertex Pharmaceuticals Incorporated,452.44,441.83823446132357,-2.3,1.0688074e+11
VRT,Vertiv Holdings Co,296.45,323.90097056246685,9.3,1.2517762e+11
VTRS,Viatris Inc.,16.01,15.81370991920817,-1.2,3.0625698e+10
VST,Vistra Corp.,149.06,165.7248630613855,11.2,7.514752e+10
VMC,Vulcan Materials Company,281.0,281.68273519721436,0.2,4.160081e+10
GWW,"W.W. Grainger, Inc.",1298.46,1301.8551092123357,0.3,6.355064e+10
WAB,Westinghouse Air Brake Technologies Corporation,261.19,263.0453458412769,0.7,5.1028836e+10
WMT,Walmart Inc.,120.435,118.90293890297451,-1.3,1.011055e+12
DIS,The Walt Disney Company,99.26,103.20964968440082,4.0,2.2090074e+11
WBD,"Warner Bros. Discovery, Inc.",26.075,27.49703830070611,5.5,9.810883e+10
WM,"Waste Management, Inc.",221.79,191.02173376245088,-13.9,9.94427e+10
WAT,Waters Corporation,366.365,375.15279682597867,2.4,4.19747e+10
WEC,"WEC Energy Group, Inc.",113.765,111.61154325696116,-1.9,5.8626945e+10
WELL,Welltower Inc.,210.03,202.73681714264384,-3.5,1.5839817e+11
WST,"West Pharmaceutical Services, Inc.",317.465,317.9872343000494,0.2,2.2264633e+10
WDC,Western Digital Corporation,522.31,575.7497837913738,10.2,1.9693766e+11
WY,Weyerhaeuser Company,24.695,18.97648617878004,-23.2,1.8832855e+10
WSM,"Williams-Sonoma, Inc.",206.21,210.41436268598846,2.0,2.5617541e+10
WMB,"The Williams Companies, Inc.",72.485,74.43419368056095,2.7,1.2038489e+11
WTW,Willis Towers Watson Public Limited Company,264.29,232.5788454799709,-12.0,2.70176e+10
WDAY,"Workday, Inc.",145.625,201.99312047761194,38.7,4.0052617e+10
WYNN,"Wynn Resorts, Limited",105.225,96.72051786119977,-8.1,2.0402944e+10
XEL,Xcel Energy Inc.,79.36,77.5269844135921,-2.3,8.587274e+10
XYL,Xylem Inc.,109.81,99.07720329559042,-9.8,2.4803006e+10
YUM,"Yum! Brands, Inc.",151.1,137.38645722907776,-9.1,5.032162e+10
ZBRA,Zebra Technologies Corporation,231.73,245.4594978245513,5.9,1.4427068e+10
ZBH,"Zimmer Biomet Holdings, Inc.",87.24,85.92818446317669,-1.5,2.373238e+10
ZTS,Zoetis Inc.,80.435,79.8324436816521,-0.7,4.0781005e+10
