symbol,name,sector,pe_ratio,forward_pe,ps_ratio,pb_ratio,ev_ebitda,ev_revenue,gross_margin,ebitda_margin,net_margin,roe,roa,debt_to_equity,current_ratio,beta,revenue,market_cap,fifty_two_week_position
AMZN,"Amazon.com, Inc.",Consumer Cyclical,31.13092,25.311722,3.6157978,6.075731,18.109,3.8,0.5060408799754224,0.2098358000123876,0.1222414301497583,0.24285,0.06845,53.3,1.177,1.444,742775980032.0,2685727670272.0,65.00726744186045
AMCR,Amcor plc,Consumer Cyclical,30.392002,8.860497,0.7915509,1.506882,10.179,1.468,0.1914375833932397,0.1442541648280967,0.0305543035641752,0.08737001,0.04079,143.74,1.443,0.636,22190000128.0,17564514304.0,11.844792375765842
AEE,Ameren Corporation,Utilities,19.775179,18.929026,3.561011,2.2442439,13.334,5.972,0.5045055700747053,0.447864258942459,0.1783499135651719,0.117469996,0.03086,155.674,0.622,0.49,8544999936.0,30428839936.0,74.46808510638297
AEP,"American Electric Power Company, Inc.",Utilities,19.218193,18.951803,3.1510453,2.2217946,13.346,5.438,0.4724290058449207,0.4074800707309999,0.1628850453270532,0.12585,0.031689998,157.099,0.526,0.518,22432999424.0,70687399936.0,75.40030991735536
AIG,"American International Group, Inc.",Financial Services,13.258802,8.46135,1.4954431,0.9932735,4.633,1.443,0.3553424871667311,0.3114490107763715,0.1183850736922552,0.07723,0.01885,22.647,0.611,0.541,26701000704.0,39929827328.0,25.04626773596548
AMT,American Tower Corporation,Real Estate,31.337358,28.17863,8.379943,25.744806,20.1,12.985,0.7396411963478505,0.6460306597097046,0.2680672444280434,0.29952,0.04911,444.55,0.304,0.891,10819300352.0,90665115648.0,42.63537906137181
AWK,"American Water Works Company, Inc.",Utilities,22.351952,19.220741,4.7296906,2.2304888,13.892,7.569,0.608261289378258,0.5448606907563396,0.2117194926704817,0.10217,0.035099998,142.33,0.37,0.613,5205000192.0,24618039296.0,20.12820512820514
AME,"AMETEK, Inc.",Industrials,34.37897,25.79006,6.8555017,4.770046,22.48,7.161,0.3668138079403724,0.3185599028831203,0.2010825406544512,0.14626999,0.0801,22.489,1.138,1.004,7597581824.0,52085235712.0,76.82181818181817
AMGN,Amgen Inc.,Healthcare,24.641865,15.093431,5.138249,20.809843,13.702,6.228,0.7144277474178803,0.4545405623955503,0.2095647515757274,1.01318,0.08347999,623.754,1.261,0.416,37219999744.0,191245631488.0,70.07937793617367
APH,Amphenol Corporation,Technology,40.199715,24.676714,6.6439543,12.30387,23.845,7.522,0.3792030416639654,0.3154479164854835,0.172387839036585,0.36825,0.13453001,133.051,1.714,1.275,25903800320.0,172103663616.0,64.27349302448015
ADI,"Analog Devices, Inc.",Technology,60.882614,27.735115,15.664543,5.9148583,34.819,16.806,0.6449146994416712,0.4826767387943427,0.2600770640741802,0.09639,0.054899998,25.81,1.752,1.183,12740193280.0,199579041792.0,86.5367343272858
AON,Aon plc,Financial Services,18.101318,15.386644,4.0260954,7.1596904,14.237,4.758,0.4734073011211178,0.3342102082363659,0.2254374985213313,0.46447,0.060510002,155.05,1.066,0.714,17486000128.0,70400303104.0,32.764036120926605
APA,APA Corporation,Energy,8.609557,8.679948,1.5596014,2.0220628,3.588,2.233,0.722733247015265,0.6225062629938123,0.1831322388199008,0.26217,0.09611,61.314,0.919,0.327,8370999808.0,13055423488.0,68.75000000000003
AAPL,Apple Inc.,Technology,37.866665,32.514843,10.163719,43.0303,28.675,10.162,0.4786240274221003,0.3543666554716124,0.2715188202120983,1.4147099,0.26229,79.548,1.07,1.086,451442016256.0,4588330024960.0,96.27471896282924
AMAT,"Applied Materials, Inc.",Technology,43.62594,28.706814,12.69777,15.414093,42.842,13.691,0.4895603792723264,0.3195631135611907,0.293136723263506,0.39692003,0.14858,30.399,2.508,1.672,29024000000.0,368540090368.0,87.54063144803416
APP,AppLovin Corporation,Communication Services,48.166378,25.28443,30.213724,78.88376,38.759,30.635,0.8836680748719334,0.7903802486461577,0.6351153185057309,2.66444,0.44236,162.888,3.244,2.455,6164192256.0,186243203072.0,55.072719156034864
APTV,Aptiv PLC,Consumer Cyclical,41.190475,10.154459,0.7088504,1.5915363,7.043,1.086,0.1892153574329644,0.1541700975137106,0.0176678451250381,0.040799998,0.05698,103.823,2.115,1.334,20658999296.0,14644140032.0,47.033557046979865
ACGL,Arch Capital Group Ltd.,Financial Services,7.016923,9.212755,1.6115347,1.3726788,5.202,1.551,0.3936896444741485,0.2981746527657683,0.2443242221130986,0.21305999,0.045679998,11.282,0.566,0.306,19776999424.0,31871320064.0,41.8815663801337
ADM,Archer-Daniels-Midland Company,Consumer Defensive,36.540176,15.765549,0.48952818,1.7300416,19.895,0.627,0.0629777603524845,0.0315074962788126,0.0134145729036565,0.047659997,0.01669,46.128,1.311,0.603,80583999488.0,39448137728.0,90.87136929460578
ARES,Ares Management Corporation,Financial Services,57.778797,17.127502,6.99871,11.018543,34.758,8.116,0.3756149254724537,0.2334991893415922,0.0950520052618281,0.14182,0.02536,168.762,0.488,1.516,5909112832.0,41356169216.0,29.74059923587372
ANET,"Arista Networks, Inc.",Technology,52.86254,34.57219,19.948511,14.361871,46.419,20.256,0.6353721408380477,0.4363793622744804,0.3831656406172157,0.31520998,0.14359,55.606,2.829,1.611,9709899776.0,193698037760.0,72.4368499257058
AJG,Arthur J. Gallagher & Co.,Financial Services,34.902912,14.518018,3.9035351,2.3307328,16.715,4.662,0.4292858310216762,0.2789125304340338,0.1135371209746622,0.07007,0.0228,56.18,1.063,0.533,14197999616.0,55422390272.0,17.021421749215442
AIZ,"Assurant, Inc.",Financial Services,13.218462,11.471913,0.9704415,2.1813567,7.783,0.969,0.1274505322265028,0.1245326877557053,0.0753472546156992,0.18016,0.024360001,37.61,0.386,0.569,13160399872.0,12771398656.0,95.8623356535189
T,AT&T Inc.,Communication Services,7.5345397,8.972676,1.2578379,1.4583598,7.294,2.56,0.5941373019852237,0.3510053082773595,0.1685397808733161,0.18370001,0.041160002,125.175,0.918,0.395,126527995904.0,159151702016.0,4.375000000000019
ATO,Atmos Energy Corporation,Utilities,21.155365,19.126772,5.8670397,1.920911,14.778,7.691,0.6098754268291532,0.5204215604603221,0.2757026304864211,0.096,0.03876,64.588,1.003,0.601,4881241088.0,28638435328.0,50.76416647072656
ADSK,"Autodesk, Inc.",Technology,33.9,16.276623,6.5313835,15.364231,22.954,6.54,0.9243372832653202,0.2849340773554473,0.1948847877205114,0.50396,0.113249995,85.419,0.835,1.295,7506999808.0,49031094272.0,15.753543786416222
ADP,"Automatic Data Processing, Inc.",Technology,21.85901,19.199667,4.33241,14.769415,14.769,4.335,0.4849678631126938,0.2935084577991802,0.2011814655634218,0.71208,0.05949,69.259,1.043,0.845,21600399360.0,93581787136.0,32.411652676871
AZO,"AutoZone, Inc.",Consumer Cyclical,21.333815,17.698524,2.5417302,-18.243559,14.752,3.149,0.5175388098722552,0.2134840776490508,0.1239904945042446,0.30857,0.11389,121.351,0.89,0.349,19986403328.0,50800046080.0,12.008219178082175
AVB,"AvalonBay Communities, Inc.",Real Estate,23.584158,39.115067,8.83484,2.3037863,19.45,11.734,0.627268452323736,0.6032976588421715,0.3719718030722577,0.09719,0.02646,81.307,0.375,0.789,3060059904.0,27035140096.0,61.21382636655947
AVY,Avery Dennison Corporation,Consumer Cyclical,17.449831,13.861611,1.314632,5.157958,10.541,1.689,0.287551214496939,0.1602318585582177,0.0765959328699368,0.30857,0.082650006,164.751,1.15,0.833,9005700096.0,11839181824.0,4.481434058898836
AXON,"Axon Enterprise, Inc.",Industrials,197.23578,45.888912,13.109245,11.061715,412.871,14.236,0.5946267464562864,0.0344795351956594,0.069048234956723,0.06765,0.00084,52.074,2.271,1.422,2983247872.0,39108128768.0,26.7301749830868
BKR,Baker Hughes Company,Energy,20.303513,22.836548,2.260279,3.2633252,13.688,2.366,0.2364392414800726,0.1728390692580539,0.1117126152995797,0.17184,0.05011,82.935,2.132,0.938,27893000192.0,63045963776.0,79.41794179417941
BALL,Ball Corporation,Consumer Cyclical,15.456267,11.728878,1.032784,2.519844,10.47,1.573,0.1917026369104526,0.1502158401939658,0.0684861328809861,0.16785999,0.04701,145.542,1.119,1.014,13667000320.0,14115058688.0,34.88917306052856
BAX,Baxter International Inc.,Healthcare,26.364431,9.655582,0.8883084,1.6639602,9.239,1.558,0.3464664041174206,0.1686395626905074,-0.0866607734655197,-0.15010999,0.02849,161.021,1.854,0.642,11320000512.0,10055651328.0,22.930717351318204
BDX,"Becton, Dickinson and Company",Healthcare,26.638742,11.392949,1.8919772,1.742784,9.367,2.595,0.4709137828552348,0.2770054612413661,0.0740990739265644,0.06672,0.04383,71.599,0.942,0.278,22226999296.0,42058489856.0,41.8876264316426
BBY,"Best Buy Co., Inc.",Consumer Cyclical,13.150001,10.042668,0.35741675,4.846107,6.613,0.414,0.2251791559598412,0.0625418002848804,0.027305303752243,0.39104,0.07771,133.831,1.121,1.33,41860001792.0,14961465344.0,53.22850451656075
TECH,Bio-Techne Corporation,Healthcare,73.78572,25.050198,6.6788096,4.003566,22.955,6.94,0.6639945975780227,0.3023138950517371,0.0904344272363932,0.053400002,0.07452,13.922,4.489,1.358,1210811008.0,8086776320.0,29.1781767955801
BIIB,Biogen Inc.,Healthcare,21.334768,11.94414,2.9446008,1.5684475,8.838,3.148,0.7871978770243718,0.3561897418226528,0.1380542253010255,0.077010006,0.059520002,35.181,3.065,0.177,9937399808.0,29261676544.0,90.8502119642016
BLK,"BlackRock, Inc.",Financial Services,25.061087,16.43872,6.332341,2.7322881,16.167,6.521,0.4689133050899245,0.4033465923183626,0.2439737853130812,0.118990004,0.03615,23.635,2.168,1.434,25638000640.0,162348564480.0,26.289869443067243
XYZ,"Block, Inc.",Technology,53.132816,13.656215,1.6536093,1.8441389,27.269,1.755,0.4507814134725041,0.064373383132091,0.0329707817782495,0.03743,0.02053,37.514,1.986,2.552,24478734336.0,40478261248.0,57.74278215223099
BA,The Boeing Company,Industrials,85.564285,51.56657,1.84387,28.404953,-61.625,2.179,0.0482513221001108,-0.0353532063427036,0.020849604558546,1.69947,-0.02069,828.696,1.176,1.198,92184002560.0,169975316480.0,50.079917504511485
BKNG,Booking Holdings Inc.,Consumer Cyclical,21.895916,13.5073185,4.651174,-14.858292,12.809,4.801,0.8698667501834264,0.3748329670968574,0.2222703744636362,0.30857,0.22259001,121.351,1.057,1.088,27687000064.0,128777052160.0,19.236208657132867
BSX,Boston Scientific Corporation,Healthcare,20.506275,13.144555,3.5338247,2.8163428,14.986,3.998,0.6894343311711472,0.2668089689163801,0.1729407114251452,0.14661,0.060749996,42.25,1.9,0.559,20614000640.0,72846262272.0,2.952029520295197
BMY,Bristol-Myers Squibb Company,Healthcare,16.119047,9.332327,2.4238064,5.8552094,7.988,3.126,0.7198135653448093,0.3913617167884968,0.1500556840384082,0.38731998,0.10689,230.967,1.42,0.238,48482000896.0,117510987776.0,73.76043200785469
AVGO,Broadcom Inc.,Technology,65.28214,20.356308,24.531624,21.168192,48.485,26.951,0.762843740515126,0.5558603440108136,0.3884847225955261,0.37280998,0.121190004,74.018,2.238,1.433,75464998912.0,1851444690944.0,59.03934774902516
BR,"Broadridge Financial Solutions, Inc.",Technology,16.350267,14.689378,2.4147143,6.2748837,11.876,2.858,0.3131393313660155,0.2406211238408188,0.1502806514929656,0.42314,0.091709994,120.878,0.943,0.888,7322299904.0,17681262592.0,9.903875264910692
BRO,"Brown & Brown, Inc.",Financial Services,19.276873,12.168016,3.2053266,1.5748158,10.695,4.249,0.5337168533582226,0.3972515466360176,0.1816874335659941,0.11926,0.05515,64.37,1.017,0.624,6257999872.0,20058933248.0,9.287443791075749
BLDR,"Builders FirstSource, Inc.",Industrials,28.162216,12.548855,0.5355053,1.981231,10.976,0.895,0.2988823571275082,0.0815043249887548,0.0196677926527357,0.06958,0.033970002,132.159,1.759,1.45,14820218880.0,7936305664.0,10.107063889212151
BG,Bunge Global SA,Consumer Defensive,33.323685,11.632382,0.30502084,1.5311971,18.412,0.511,0.0444212700626307,0.0277353591906429,0.008516767007577,0.04933,0.02379,93.214,1.599,0.617,80546996224.0,24568512512.0,86.97645013434486
BXP,"BXP, Inc.",Real Estate,31.180904,29.19739,3.502913,1.9110535,17.727,8.963,0.561312736587483,0.5056402091229714,0.100424626535729,0.05525,0.01675,211.994,0.979,1.062,3158577920.0,11064223744.0,41.64133738601824
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,37.323235,25.144196,1.3443484,12.8094015,26.191,1.435,0.085737738991386,0.0547832167794593,0.0369784280512139,0.34838,0.1008,96.501,1.586,0.925,16198957056.0,21777043456.0,83.24923409623355
CDNS,"Cadence Design Systems, Inc.",Technology,89.970795,41.0309,19.210941,16.187103,57.136,20.816,0.8607855180072888,0.3643279096490558,0.2118015836530817,0.20656,0.10389,46.992,1.471,1.149,5528612864.0,106209853440.0,79.46277770559958
CPT,Camden Property Trust,Real Estate,31.597767,92.47345,7.0725675,2.9193013,18.994,10.068,0.6162231457261399,0.5300673696969462,0.2443443528693824,0.09064999,0.015829999,104.147,0.104,0.814,1584873984.0,11209127936.0,73.8317757009346
CPB,The Campbell's Company,Consumer Defensive,11.771739,10.321856,0.64340466,1.6116072,7.601,1.323,0.2961044080051762,0.1740559958733933,0.0547972491261261,0.13891,0.05347,185.001,1.015,0.01,10037000192.0,6457852928.0,13.907284768211934
CAH,"Cardinal Health, Inc.",Healthcare,31.521341,17.264109,0.19314848,-17.158743,13.117,0.209,0.0375535901565966,0.0159291676332116,0.0062017670212661,0.142364995,0.03601,71.599,0.907,0.526,250735001600.0,48429084672.0,72.01877934272301
CCL,Carnival Corporation Ltd.,Consumer Cyclical,12.022027,10.488934,1.4012107,2.9004145,8.791,2.364,0.559661960424261,0.2689328027173256,0.1147644314083965,0.27853,0.05523,203.901,0.299,2.331,26976999424.0,37800460288.0,43.45637583892616
CARR,Carrier Global Corporation,Industrials,44.566666,20.88364,2.5388339,4.131644,21.802,3.131,0.2518061168618572,0.143621395409989,0.0586191125970166,0.09907,0.031489998,91.102,1.05,1.337,21870000128.0,55524298752.0,53.8411669367909
CVNA,Carvana Co.,Consumer Cyclical,37.80925,30.355488,3.185509,12.571594,21.794,2.266,0.2013142818950866,0.1039872211416313,0.063981883356203,0.60172004,0.114300005,121.351,4.087,3.449,22521999360.0,71744028672.0,25.50682760870578
CASY,"Casey's General Stores, Inc.",Consumer Cyclical,43.927177,37.589287,1.6721513,7.354229,22.007,1.801,0.2453588873461761,0.0818173044697975,0.0382798217650175,0.17882,0.07129,75.146,1.042,0.624,16982079488.0,28396607488.0,71.13421914115156
CAT,Caterpillar Inc.,Industrials,45.211624,30.354322,5.924519,22.46575,32.491,6.685,0.2860151312624572,0.2057381049277621,0.13327679419619,0.51331,0.085200004,230.793,1.353,1.603,70755000320.0,419189358592.0,95.49808753342585
CBOE,"Cboe Global Markets, Inc.",Financial Services,24.302565,19.321918,6.209778,5.538803,16.468,6.132,0.5410684474123539,0.3723288681135225,0.2565734624373956,0.2514,0.10593,29.489,1.385,0.395,4792000000.0,29757255680.0,43.25666492420281
CBRE,"CBRE Group, Inc.",Real Estate,30.164762,14.855403,0.91462684,4.5308313,21.84,1.139,0.1850149220297376,0.0521302290555101,0.0310885729640132,0.15597,0.02717,113.689,1.083,1.221,42202001408.0,38599081984.0,19.26588056295168
CDW,CDW Corporation,Technology,16.292765,11.510833,0.7460777,6.70024,11.796,1.021,0.21572335046259,0.0865408181020287,0.0470250806868107,0.44157,0.06698,240.522,1.165,0.987,22904799232.0,17088760832.0,42.22099320198179
COR,"Cencora, Inc.",Healthcare,21.20827,14.005413,0.16395742,15.860965,12.395,0.2,0.0379626237897185,0.0161264384601074,0.0077542807983595,1.0713401,0.03486,420.985,0.947,0.588,328680013824.0,53889523712.0,24.231464737793864
CNC,Centene Corporation,Healthcare,26.364431,14.012744,0.17286718,1.438645,8.155,0.133,0.1055895799181241,0.0162898417854125,-0.0361348526499236,-0.26044,0.01222,76.049,1.123,1.093,178331992064.0,30827747328.0,98.6529318541997
CNP,"CenterPoint Energy, Inc.",Utilities,26.31595,20.60338,2.9813643,2.4508626,13.883,5.404,0.4592010188647961,0.3892902783317373,0.1137909083224046,0.09561,0.02843,215.591,1.165,0.461,9411999744.0,28060600320.0,82.51942286348506
CF,"CF Industries Holdings, Inc.",Basic Materials,10.329884,9.921897,2.3803515,3.3001206,6.56,3.044,0.3912514981719865,0.4640205084788291,0.2373430518172059,0.273,0.11338,43.847,3.54,0.382,7407000064.0,17631264768.0,59.12984670874661
CRL,"Charles River Laboratories International, Inc.",Healthcare,26.364431,14.933418,2.1987424,3.0110564,13.342,2.947,0.3445651388268285,0.2209124059216659,-0.0458524902132087,-0.0587,0.04264,102.551,1.361,1.449,4027044096.0,8854432768.0,48.859250851305326
CHTR,"Charter Communications, Inc.",Communication Services,3.5189395,2.9413986,0.37296999,0.9762212,5.318,2.139,0.5534629365447605,0.4022073239053961,0.0902884592821864,0.27504998,0.054130003,459.525,0.401,0.707,54635999232.0,20377587712.0,0.7404639788050701
CVX,Chevron Corporation,Energy,32.82056,14.991159,2.0200121,2.0277486,11.033,2.252,0.4242112542748443,0.2040809823343186,0.059271026015576,0.06638,0.0346,23.989,1.094,0.472,185740001280.0,375197073408.0,66.26073580310215
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,27.220182,21.871822,3.135349,15.85783,17.588,3.338,0.3964918612070836,0.1898076208620618,0.1196173544966582,0.49231997,0.13539,217.885,0.919,0.978,12138590208.0,38058717184.0,4.990085922009258
CB,Chubb Limited,Financial Services,11.587372,11.197476,2.0832505,1.7246872,10.059,2.39,0.3099790203233817,0.2375713314377882,0.1852659646487277,0.15433,0.03364,31.458,0.386,0.421,60987998208.0,127053275136.0,77.81659923991661
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,32.11513,24.315102,3.7278504,5.5248713,17.417,3.896,0.4547007398232431,0.223676150721102,0.1181229239759133,0.16779,0.08140001,56.794,1.217,0.47,6205400064.0,23132803072.0,65.96519627681097
CIEN,Ciena Corporation,Technology,166.79,52.01773,12.722079,24.49672,97.0,13.685,0.4304664066621275,0.1410879647293074,0.0787014183093772,0.15464,0.06664,54.474,2.727,1.244,5569149952.0,70851166208.0,75.80195504111234
CI,The Cigna Group,Healthcare,2.5454144,8.64968,0.2755728,1.8147112,7.284,0.351,0.0914887741903836,0.0481841861021242,0.0226274950943867,0.16268998,0.04782,72.805,0.818,0.302,277892005888.0,76579479552.0,50.29180921714633
CINF,Cincinnati Financial Corporation,Financial Services,9.435069,17.959858,1.9733688,1.6225909,6.71,1.893,0.2793935643564356,0.2821782178217821,0.2132580396039604,0.18735,0.05553,5.626,1.044,0.584,12928000000.0,25511710720.0,69.75728155339806
CTAS,Cintas Corporation,Industrials,38.566597,33.616325,6.619351,15.238493,25.743,6.777,0.5036170366876038,0.2632664995784101,0.1751092047738086,0.41303003,0.15942,60.943,1.983,0.934,11027210240.0,72992972800.0,31.227967097532293
CSCO,"Cisco Systems, Inc.",Technology,40.89,25.704426,7.9593024,9.891944,31.09,8.704,0.6429724260018127,0.2799690517543295,0.1968524667231176,0.25229,0.07337,67.541,0.925,1.004,60745998336.0,483495772160.0,89.70251716247142
CLX,The Clorox Company,Consumer Defensive,15.295935,14.942989,1.6827029,-169.80144,11.218,2.114,0.4384615384615384,0.1884615384615384,0.1118343195266272,5.46099,0.110369995,4876.087,0.84,0.545,6760000000.0,11375071232.0,19.79716881470524
CME,CME Group Inc.,Financial Services,21.93862,19.934807,13.788302,3.4977505,19.617,13.941,1.0,0.7106738437976374,0.6294560649252067,0.15919,0.0155,14.059,1.018,0.244,6743600128.0,92982796288.0,15.106382978723367
CMS,CMS Energy Corporation,Utilities,19.997238,17.350143,2.5348778,2.4195328,13.599,4.699,0.4054636240872853,0.3454999016857812,0.1243482185161772,0.103719994,0.03131,189.842,0.842,0.352,8821999616.0,22362691584.0,33.305439330543955
KO,The Coca-Cola Company,Consumer Defensive,25.207548,23.010483,6.9979506,10.255886,21.744,7.374,0.6174417254594682,0.3391567080641015,0.2780009677344019,0.43372002,0.0951,124.943,1.358,0.354,49284001792.0,344887001088.0,85.55748122472559
CTSH,Cognizant Technology Solutions Corporation,Technology,11.542299,8.635828,1.1757605,1.6738495,6.394,1.162,0.3351397004711376,0.1817714765424293,0.1041296846351582,0.14876,0.10438,7.247,2.226,0.81,21405999104.0,25168328704.0,18.604091456077025
COHR,Coherent Corp.,Technology,182.54034,47.576,11.413437,7.054085,63.849,12.705,0.3699004900852637,0.1989874712042433,0.0606791736834411,0.04718,0.03142,31.093,3.05,2.054,6602083840.0,75352465408.0,84.89758206653448
COIN,"Coinbase Global, Inc.",Financial Services,54.556988,29.861694,6.219612,2.8996427,40.669,6.486,0.8547457803136282,0.1594738449696695,0.1273634214432763,0.06686,0.01926,59.081,2.141,3.32,6285964800.0,39096262656.0,2.9594811490713737
CL,Colgate-Palmolive Company,Consumer Defensive,34.562016,22.065828,3.4312515,492.65195,15.239,3.606,0.6006251447117038,0.2366434113543006,0.1004087480865555,3.6357698,0.16098,1640.535,1.025,0.322,20795000832.0,71352877056.0,58.999192897498
CMCSA,Comcast Corporation,Communication Services,4.655883,6.274841,0.67708015,0.96215403,4.771,1.347,0.7013018646989005,0.2823502970684585,0.1500435046930859,0.20918,0.04535,106.858,0.865,0.658,125277003776.0,84822573056.0,3.236684712171662
