symbol,name,sector,current_price,market_cap,pe_ratio,ev_ebitda,altman_z_score,z_score_zone,ml_fair_value,ml_upside,dcf_base_case,dcf_bull,dcf_bear,dcf_upside,cagr,avg_fcf_margin
AMGN,Amgen Inc.,Healthcare,354.35,191245631488.0,24.641865,13.702,1.898,grey,345.62460545861484,-2.5,322.1490385266624,614.1049690925521,204.86873869696785,-9.1,11.77,28.15
APH,Amphenol Corporation,Technology,139.895,172103663616.0,40.199715,23.845,6.629,safe,140.1063025511369,0.2,85.11946316583946,157.23726786452255,56.22971312629452,-39.2,22.31,16.11
ADI,"Analog Devices, Inc.",Technology,409.72,199579041792.0,60.882614,34.819,9.324,safe,391.3983062082703,-4.5,74.54652685156603,131.35746959313792,51.59411405091945,-81.8,-2.84,33.07
AON,Aon plc,Financial Services,329.625,70400303104.0,18.101318,14.237,1.784,not applicable,324.564841686169,-1.5,286.643385478373,540.1013028001639,184.81161100023616,-13.0,11.25,21.17
APA,APA Corporation,Energy,36.935,13055423488.0,8.609557,3.588,1.682,distress,41.02229176999397,11.1,23.604366409143985,46.606117372336925,14.290669953023928,-36.1,-6.96,14.88
APO,"Apollo Global Management, Inc.",Financial Services,126.79,73096658944.0,79.742134,11.172,0.06,not applicable,,,527.7337410237724,927.3467784725844,367.9038649143743,316.2,30.0,22.24
AAPL,Apple Inc.,Technology,312.4,4588330024960.0,37.866665,28.675,12.007,safe,309.45144135568034,-0.9,103.6962847721263,175.4814416205353,74.75604520822539,-66.8,1.81,26.45
AMAT,"Applied Materials, Inc.",Technology,464.18,368540090368.0,43.62594,42.842,18.144,safe,496.6982342057452,7.0,126.22551746225749,212.52929842694056,91.45251285957956,-72.8,3.23,23.54
APP,AppLovin Corporation,Communication Services,554.395,186243203072.0,48.166378,38.759,25.391,safe,559.8031719283556,1.0,248.32167892264195,437.6951294445847,172.502310980363,-55.2,24.84,40.0
APTV,Aptiv PLC,Consumer Cyclical,69.2,14644140032.0,41.190475,7.043,2.257,grey,74.51145727465276,7.7,58.15302618106368,120.8723315861025,32.90253013409477,-16.0,5.26,5.76
ACGL,Arch Capital Group Ltd.,Financial Services,91.22,31871320064.0,7.016923,5.202,,not applicable,,,780.5793259487502,1367.606570549581,545.6149961798417,755.7,26.14,38.22
ADM,Archer-Daniels-Midland Company,Consumer Defensive,81.85,39448137728.0,36.540176,19.895,3.213,safe,84.09696081987079,2.7,25.142362098838014,54.695147724193006,13.171968463249552,-69.3,-7.54,2.99
ARES,Ares Management Corporation,Financial Services,125.38,41356169216.0,57.778797,34.758,1.673,not applicable,109.44992682716055,-12.7,130.89551499685513,271.3380402590474,74.636539325564,4.4,22.39,23.26
ANET,"Arista Networks, Inc.",Technology,153.83,193698037760.0,52.86254,46.419,18.932,safe,166.226239706431,8.1,108.3238739930579,182.85256889698456,78.49895806481368,-29.6,27.15,36.02
AJG,Arthur J. Gallagher & Co.,Financial Services,215.7,55422390272.0,34.902912,16.715,1.167,not applicable,209.95882812463512,-2.7,194.39338092829828,371.5536615961439,123.34565693053985,-9.9,17.7,16.57
AIZ,"Assurant, Inc.",Financial Services,257.76,12771398656.0,13.218462,7.783,,not applicable,,,395.29101632346567,678.8343716274505,281.24758576588954,53.4,7.93,8.57
T,AT&T Inc.,Communication Services,22.905,159151702016.0,7.5345397,7.294,0.932,distress,25.3004529178232,10.5,14.39207680527852,38.75243372036536,4.569185584061943,-37.2,1.34,14.4
ATO,Atmos Energy Corporation,Utilities,171.57,28638435328.0,21.155365,14.778,1.763,distress,168.60758348999437,-1.7,-52.640419805569,-49.66597106837648,-53.83858284274827,-130.7,3.83,1.0
ADSK,"Autodesk, Inc.",Technology,232.215,49031094272.0,33.9,22.954,3.955,safe,233.65306643813648,0.6,229.5129152307944,394.62273797116296,163.21040643980714,-1.2,12.92,30.19
ADP,"Automatic Data Processing, Inc.",Technology,234.11,93581787136.0,21.85901,14.769,2.658,grey,209.638942101043,-10.5,171.0265845775125,293.8266240923565,121.63003426225328,-26.9,7.61,18.93
AZO,"AutoZone, Inc.",Consumer Cyclical,3103.43,50800046080.0,21.333815,14.752,2.628,grey,,,1473.0873673939266,3033.5911180934154,844.828558856831,-52.5,5.23,11.95
AVB,"AvalonBay Communities, Inc.",Real Estate,190.56,27035140096.0,23.584158,19.45,1.859,not applicable,185.09229894997867,-2.9,73.68308032360773,171.43234808441665,34.33241090257695,-61.3,5.45,40.0
AVY,Avery Dennison Corporation,Consumer Cyclical,154.78,11839181824.0,17.449831,10.541,3.44,safe,153.50810494678515,-0.8,61.417508489681005,133.642411255134,32.26783422087255,-60.3,-0.68,7.37
AXON,"Axon Enterprise, Inc.",Industrials,485.2,39108128768.0,197.23578,412.871,7.296,safe,729.4779197315225,50.3,139.70422158309384,256.59215440889227,92.95353511525286,-71.2,30.0,10.49
BKR,Baker Hughes Company,Energy,63.55,63045963776.0,20.303513,13.688,2.696,grey,66.685709689316,4.9,37.4551187456904,64.28366768426524,26.669979516015133,-41.1,9.44,7.0
BALL,Ball Corporation,Consumer Cyclical,53.015,14115058688.0,15.456267,10.47,2.459,grey,52.65109052264726,-0.7,-21.71848660035081,-17.500467332209343,-23.42074135572743,-141.0,-0.53,1.0
BAC,Bank of America Corporation,Financial Services,53.76,381512712192.0,13.33995,11.172,,not applicable,,,33.83026290465411,52.45511751177855,26.334052355453675,-37.1,6.0,9.99
BAX,Baxter International Inc.,Healthcare,19.47,10055651328.0,26.364431,9.239,2.152,grey,19.34263024742813,-0.7,6.938420711398319,22.027562627171847,0.8601431331067683,-64.4,3.79,6.58
BDX,"Becton, Dickinson and Company",Healthcare,152.62,42058489856.0,26.638742,9.367,1.835,grey,138.4993456223395,-9.3,89.9327219780189,194.2436177475386,47.93335933944372,-41.1,4.99,11.79
BRK.B,,,,,,,,,,,,,,,,
BBY,"Best Buy Co., Inc.",Consumer Cyclical,71.01,14961465344.0,13.150001,6.613,4.263,safe,71.16376808360602,0.2,42.88606700833925,78.7898893447312,28.37606662623176,-39.6,-3.43,2.46
TECH,Bio-Techne Corporation,Healthcare,51.65,8086776320.0,73.78572,22.955,8.99,safe,53.581099181151416,3.7,24.43837095209552,41.656109143444894,17.501361901957335,-52.7,3.33,21.44
BIIB,Biogen Inc.,Healthcare,198.2,29261676544.0,21.334768,8.838,3.319,safe,196.6710911592781,-0.8,129.40286888265925,226.99449823138613,90.01066566971672,-34.7,-0.94,17.42
BLK,"BlackRock, Inc.",Financial Services,996.93,162348564480.0,25.061087,16.167,1.702,not applicable,1061.1810762654563,6.4,650.3434059639665,1124.1525118429113,459.9456450598385,-34.8,10.65,20.96
BX,Blackstone Inc.,Financial Services,115.48,141146816512.0,29.610256,11.172,,not applicable,,,180.5965569588065,327.3379940166042,121.78546479843892,56.4,20.27,40.0
XYZ,"Block, Inc.",Technology,68.01,40478261248.0,53.132816,27.269,2.779,grey,78.63817657489327,15.6,36.73275271797319,64.18577801166346,25.703248860140167,-46.0,11.33,4.07
BNY,,Financial Services,142.805,98018361344.0,17.695787,11.172,,not applicable,,,410.5975725868983,527.9353346696819,363.38590394989416,187.5,6.87,33.44
BA,The Boeing Company,Industrials,215.622,169975316480.0,85.564285,-61.625,1.569,distress,217.00208431325825,0.6,-14.66151836376732,1.5466602244008962,-21.175359187360822,-106.8,10.33,1.0
BKNG,Booking Holdings Inc.,Consumer Cyclical,166.19,128777052160.0,21.895916,12.809,6.29,safe,166.9453373303061,0.5,296.02965119991137,515.644142552913,207.92502363836823,78.1,16.35,33.99
